order_number,customer_name,customer_email,product_name,product_sku,quantity,total_amount,order_date,shipping_status,tracking_number,carrier,delivery_address
#19324,George Bennett,george.bennett45@yahoo.com,Ergonomic Chair,EC-900,3,899.97,2026-04-03,shipped,17455288046388,OnTrac,"5012 Forest Dr, Anaheim, CA 92801"
#54245,Gary Hall,gary.hall72@outlook.com,USB-C Hub,UCH-300,1,39.99,2026-03-26,processing,,,"4588 Elm St, Anaheim, CA 92801"
#21344,Maria Smith,maria.smith55@icloud.com,Shredder,SH-137,4,359.96,2026-04-16,delivered,05735289987929931117,USPS,"4693 Elm St, San Francisco, CA 94101"
#90923,Alexander Young,alexander.young77@icloud.com,Smart Plug,SP-104,3,59.97,2026-03-29,processing,,,"3954 Hillside Rd, Los Angeles, CA 90001"
#79538,Pamela Russell,pamela.russell8@gmail.com,Shredder,SH-137,4,359.96,2025-11-29,shipped,490887719540,FedEx,"6802 Summit Ave, Denver, CO 80201"
#55429,David Bailey,david.bailey96@proton.me,USB-C Hub,UCH-300,3,119.97,2026-02-13,delivered,1Z0725034540656903,UPS,"9429 Highland Ave, Cleveland, OH 44101"
#37018,Jennifer Jackson,jennifer.jackson1@hotmail.com,Smart Plug,SP-104,1,19.99,2025-12-27,shipped,3516404400,DHL,"3190 Meadow Ln, Portland, OR 97201"
#55719,Dorothy Rivera,dorothy.rivera37@proton.me,RAM 16GB DDR4,RAM-132,1,59.99,2026-03-21,delivered,41702478458281,LaserShip,"737 Summit Ave, Corpus Christi, TX 78401"
#45667,Timothy Perez,timothy.perez26@gmail.com,Capture Card,CC-126,2,179.98,2025-12-12,out_for_delivery,539982097310,FedEx,"5729 Forest Dr, Phoenix, AZ 85001"
#90021,Rachel Gray,rachel.gray11@gmail.com,NVMe SSD 500GB,NVM-131,1,79.99,2026-03-31,shipped,065816037796,FedEx,"1819 Summit Ave, Denver, CO 80201"
#89448,Stephanie Lee,stephanie.lee9@gmail.com,Capture Card,CC-126,1,89.99,2026-03-28,delivered,2710022550,DHL,"7152 Sunset Blvd, Tampa, FL 33601"
#54606,Joshua Carter,joshua.carter59@proton.me,Desk Organizer,DO-116,1,27.99,2026-01-24,pending,,,"5195 Cedar Ln, Chicago, IL 60601"
#12472,Christopher Russell,christopher.russell36@gmail.com,Gaming Mouse,GM-122,2,139.98,2026-05-18,shipped,6028458332,DHL,"3669 Forest Dr, Tampa, FL 33601"
#95771,Eric Cook,eric.cook69@yahoo.com,Gaming Headset,GH-123,1,119.99,2026-04-25,processing,,,"4679 Meadow Ln, Corpus Christi, TX 78401"
#64239,Jacob Lewis,jacob.lewis49@yahoo.com,Ergonomic Chair,EC-900,2,599.98,2026-01-18,delivered,31335174426372,OnTrac,"1913 Broadway, Honolulu, HI 96801"
#44474,Mark Morris,mark.morris22@outlook.com,RAM 16GB DDR4,RAM-132,3,179.97,2026-04-26,delivered,27155509578801,OnTrac,"865 Oak Ave, Anaheim, CA 92801"
#69841,Mark Jenkins,mark.jenkins87@icloud.com,Mechanical Numpad,MN-124,2,111.98,2026-02-10,delivered,58089256070941,Amazon Logistics,"2574 Broadway, San Jose, CA 95101"
#39056,Katherine James,katherine.james12@proton.me,Notebook Hardcover,NB-142,3,44.97,2025-12-03,delivered,9686556345,DHL,"6318 Washington Blvd, Atlanta, GA 30301"
#64604,Kevin Smith,kevin.smith27@gmail.com,LED Desk Lamp,LDL-800,4,139.96,2026-03-06,delivered,63934680055716,Amazon Logistics,"1161 Main St, Cincinnati, OH 45201"
#91551,Kimberly Wilson,kimberly.wilson80@proton.me,Capture Card,CC-126,3,269.97,2026-04-23,delivered,874185383232,FedEx,"1225 Pine Rd, Charlotte, NC 28201"
#29231,Steven Ward,steven.ward92@yahoo.com,Shredder,SH-137,3,269.97,2026-01-02,processing,,,"9116 Lake Dr, San Diego, CA 92101"
#14782,Alexander Stewart,alexander.stewart18@proton.me,Smartwatch,SW-119,2,399.98,2026-04-09,shipped,1Z3304492760578280,UPS,"9478 Sunset Blvd, Honolulu, HI 96801"
#99315,Pamela Moore,pamela.moore42@hotmail.com,Phone Stand,PS-107,2,29.98,2025-12-14,processing,,,"800 Meadow Ln, Springfield, IL 62701"
#58609,Emily Gonzalez,emily.gonzalez36@proton.me,Stapler Heavy Duty,SHD-139,3,74.97,2025-12-28,shipped,10047113818376,LaserShip,"1708 Valley Rd, Seattle, WA 98101"
#58000,Charles Lee,charles.lee20@hotmail.com,Desk Organizer,DO-116,2,55.98,2025-11-26,processing,,,"7586 Valley Rd, Las Vegas, NV 89101"
#70241,Thomas Reyes,thomas.reyes58@icloud.com,Laptop Stand,LS-700,4,183.96,2026-05-07,delivered,8805078063,DHL,"1402 Elm St, Baltimore, MD 21201"
#62930,Raymond Howard,raymond.howard83@outlook.com,NVMe SSD 500GB,NVM-131,3,239.97,2025-11-27,delivered,92374495315705,Amazon Logistics,"3540 Oak Ave, Kansas City, MO 64101"
#10317,Sandra Foster,sandra.foster5@yahoo.com,Mechanical Keyboard,MK-200,1,89.99,2026-04-12,shipped,1Z5726175836110675,UPS,"9743 Summit Ave, New Orleans, LA 70112"
#85055,Karen Bell,karen.bell64@hotmail.com,Drawing Tablet,DT-111,2,319.98,2025-12-23,processing,,,"2649 Willow Way, Baltimore, MD 21201"
#97613,Matthew Henderson,matthew.henderson19@gmail.com,Power Bank 20000mAh,PB-118,3,149.97,2025-12-23,delivered,97418994826235,Amazon Logistics,"6236 Forest Dr, Kansas City, MO 64101"
#70563,Daniel Williams,daniel.williams20@hotmail.com,Noise Cancelling Headphones,NCH-600,3,389.97,2026-05-20,delivered,5564168981,DHL,"887 Main St, Louisville, KY 40201"
#39300,Anthony Russell,anthony.russell12@proton.me,Gaming Headset,GH-123,2,239.98,2025-11-22,delivered,155507344602,FedEx,"5127 Elm St, Portland, OR 97201"
#76695,Samuel Nguyen,samuel.nguyen72@proton.me,Phone Stand,PS-107,4,59.96,2026-01-23,out_for_delivery,1Z2504822863679795,UPS,"6203 Lake Dr, San Francisco, CA 94101"
#31492,Sharon Cruz,sharon.cruz4@yahoo.com,Surge Protector,SP2-135,3,98.97,2026-05-08,out_for_delivery,32295093418516301312,USPS,"7636 Pine Rd, New Orleans, LA 70112"
#23189,Laura Davis,laura.davis48@proton.me,Monitor Stand,MS-400,4,239.96,2025-11-25,shipped,89674693329674,OnTrac,"4950 Hillside Rd, Detroit, MI 48201"
#57649,Matthew Rogers,matthew.rogers1@icloud.com,Ergonomic Chair,EC-900,4,1199.96,2026-05-01,shipped,9624239681,DHL,"2108 Park Ave, Nashville, TN 37201"
#29908,Edward Morgan,edward.morgan91@icloud.com,4K Webcam,4KW-112,4,599.96,2025-12-03,delivered,84734579337198,LaserShip,"2623 Park Ave, Columbus, OH 43085"
#51919,George Wright,george.wright62@outlook.com,USB-C Hub,UCH-300,3,119.97,2026-03-18,shipped,83570730389341,Amazon Logistics,"7010 Washington Blvd, Omaha, NE 68101"
#26406,Eric Barnes,eric.barnes44@proton.me,Webcam HD 1080p,WC-500,1,79.99,2026-04-06,delivered,92685982793070,LaserShip,"8595 Park Ave, Boston, MA 02101"
#10921,Melissa Brooks,melissa.brooks41@hotmail.com,Gaming Headset,GH-123,3,359.97,2026-01-10,shipped,1Z6047727333830702,UPS,"6176 Lakeview Dr, Las Vegas, NV 89101"
#65731,Joshua Foster,joshua.foster11@yahoo.com,Laptop Stand,LS-700,2,91.98,2025-11-23,out_for_delivery,1Z7298572426748145,UPS,"9783 Pine Rd, Chicago, IL 60601"
#56477,Stephen James,stephen.james7@hotmail.com,Monitor Stand,MS-400,3,179.97,2026-01-27,delivered,45008489116024,OnTrac,"2910 River Rd, Albuquerque, NM 87101"
#10695,Joshua Moore,joshua.moore43@yahoo.com,USB-C Hub,UCH-300,4,159.96,2026-03-10,processing,,,"3787 Meadow Ln, Cleveland, OH 44101"
#75802,Frank Lee,frank.lee14@yahoo.com,Surge Protector,SP2-135,1,32.99,2026-01-23,returned,35812602823285,Amazon Logistics,"6327 Summit Ave, New Orleans, LA 70112"
#73587,Carol Phillips,carol.phillips37@proton.me,CPU Cooler,CC-133,3,149.97,2026-03-23,shipped,25765819626286,OnTrac,"7473 Valley Rd, Kansas City, MO 64101"
#46058,Ryan Wright,ryan.wright72@icloud.com,Mechanical Keyboard,MK-200,1,89.99,2026-02-08,shipped,1Z2274922507803912,UPS,"473 Broadway, Louisville, KY 40201"
#99875,Mary Gomez,mary.gomez35@yahoo.com,Ring Light 10inch,RL-105,2,99.98,2026-03-08,delivered,1Z1202455108394489,UPS,"6788 Meadow Ln, San Francisco, CA 94101"
#72051,Jeffrey Wright,jeffrey.wright8@icloud.com,Gaming Mouse,GM-122,2,139.98,2026-01-09,shipped,15923213830748,Amazon Logistics,"4951 Elm St, Dallas, TX 75201"
#24523,Susan Long,susan.long97@hotmail.com,Smart Plug,SP-104,1,19.99,2026-04-24,delivered,1Z5253772107566622,UPS,"2231 Broadway, Portland, OR 97201"
#54183,Matthew Phillips,matthew.phillips91@yahoo.com,Green Screen,GS-127,2,91.98,2026-05-19,returned,195468154166,FedEx,"9027 Elm St, Las Vegas, NV 89101"
#11205,Cynthia Cox,cynthia.cox99@hotmail.com,Wireless Charger,WCH-103,1,29.99,2025-12-06,shipped,1Z1359032768951413,UPS,"1009 Main St, Las Vegas, NV 89101"
#24545,Ronald Campbell,ronald.campbell50@yahoo.com,USB Microphone,UM-110,4,359.96,2026-01-12,out_for_delivery,915648433321,FedEx,"8015 Sunset Blvd, Charlotte, NC 28201"
#67377,Sharon Rogers,sharon.rogers41@icloud.com,Standing Desk Mat,SDM-101,2,111.98,2025-12-28,delivered,901415781747,FedEx,"1699 Hillside Rd, Jacksonville, FL 32099"
#22608,Kenneth Clark,kenneth.clark36@gmail.com,Webcam HD 1080p,WC-500,1,79.99,2026-02-01,returned,49291928609303,OnTrac,"9490 Broadway, Cleveland, OH 44101"
#70315,Timothy Mitchell,timothy.mitchell43@hotmail.com,Drawing Tablet,DT-111,4,639.96,2025-12-05,shipped,1675149192,DHL,"2583 Broadway, Columbus, OH 43085"
#59965,Jessica Hughes,jessica.hughes97@yahoo.com,Surge Protector,SP2-135,2,65.98,2025-12-31,delivered,71169655602495148211,USPS,"6998 Valley Rd, Bakersfield, CA 93301"
#53269,Samantha Perry,samantha.perry48@outlook.com,Stapler Heavy Duty,SHD-139,3,74.97,2026-03-26,delivered,60592510633818772858,USPS,"1821 Cedar Ln, Jacksonville, FL 32099"
#41715,Michelle Lopez,michelle.lopez14@gmail.com,Wireless Charger,WCH-103,4,119.96,2026-02-07,shipped,43166378846845,Amazon Logistics,"8835 Oak Ave, San Diego, CA 92101"
#90951,Amy Howard,amy.howard55@gmail.com,Laminator,LAM-138,2,79.98,2026-02-15,shipped,08478423552475,LaserShip,"4161 Hillside Rd, Phoenix, AZ 85001"
#64995,Amy Carter,amy.carter60@gmail.com,Wireless Charger,WCH-103,2,59.98,2025-12-16,delivered,1Z6536950934557252,UPS,"7997 Lake Dr, Honolulu, HI 96801"
#87640,Barbara Harris,barbara.harris14@proton.me,Surge Protector,SP2-135,3,98.97,2026-04-15,delivered,52783729555238,OnTrac,"2217 Maple Dr, Salt Lake City, UT 84101"
#78282,Nicholas Harris,nicholas.harris45@yahoo.com,Ring Light 10inch,RL-105,4,199.96,2026-03-26,out_for_delivery,1Z6619942621437932,UPS,"1953 Meadow Ln, Richmond, VA 23218"
#65984,Angela Foster,angela.foster17@icloud.com,Webcam HD 1080p,WC-500,4,319.96,2026-03-20,delivered,79238335634982,OnTrac,"8908 Summit Ave, Denver, CO 80201"
#68726,Laura Sanders,laura.sanders28@hotmail.com,Shredder,SH-137,3,269.97,2026-05-12,pending,,,"8878 Pine Rd, Richmond, VA 23218"
#39288,Catherine Young,catherine.young69@hotmail.com,RAM 16GB DDR4,RAM-132,2,119.98,2025-11-28,shipped,28440692513824042212,USPS,"7246 Oak Ave, Tampa, FL 33601"
#37482,Steven Martinez,steven.martinez7@gmail.com,Wireless Charger,WCH-103,1,29.99,2026-04-08,pending,,,"714 Hillside Rd, Miami, FL 33101"
#47836,Donna Lopez,donna.lopez83@hotmail.com,4K Webcam,4KW-112,4,599.96,2026-02-25,delivered,92807223075050,Amazon Logistics,"5894 Willow Way, Detroit, MI 48201"
#91313,Gregory Reed,gregory.reed78@icloud.com,Tripod Stand,TS-128,4,159.96,2026-01-12,processing,,,"548 Lake Dr, Bakersfield, CA 93301"
#95936,Shirley Barnes,shirley.barnes44@hotmail.com,Standing Desk Mat,SDM-101,4,223.96,2026-01-14,delivered,778631837283,FedEx,"3080 Elm St, Tucson, AZ 85701"
#72084,Joshua Hill,joshua.hill9@icloud.com,Bluetooth Speaker,BS-106,2,139.98,2026-03-01,delivered,54881579092146,LaserShip,"1242 Maple Dr, Detroit, MI 48201"
#53946,Margaret Hernandez,margaret.hernandez98@hotmail.com,Surge Protector,SP2-135,1,32.99,2026-02-25,delivered,9909828129,DHL,"5573 Lakeview Dr, Salt Lake City, UT 84101"
#38671,Rebecca Ross,rebecca.ross42@icloud.com,USB-C Hub,UCH-300,4,159.96,2025-12-15,shipped,019072986286,FedEx,"9912 Park Ave, San Jose, CA 95101"
#34814,Margaret Martinez,margaret.martinez31@outlook.com,Portable Monitor,PM-130,2,499.98,2026-02-12,delivered,23125021920209,OnTrac,"4542 Cedar Ln, Richmond, VA 23218"
#41822,Lisa Jackson,lisa.jackson33@icloud.com,Shredder,SH-137,4,359.96,2026-03-15,returned,1Z3234949473724004,UPS,"3989 Valley Rd, Denver, CO 80201"
#95345,Mark Baker,mark.baker75@yahoo.com,Drawing Tablet,DT-111,4,639.96,2025-12-30,delivered,1Z3775418429265698,UPS,"9589 Park Ave, Albuquerque, NM 87101"
#81011,Michelle Brooks,michelle.brooks22@gmail.com,Standing Desk Mat,SDM-101,3,167.97,2026-01-24,shipped,3616269567,DHL,"890 Sunset Blvd, Atlanta, GA 30301"
#46794,Ashley Ramirez,ashley.ramirez52@proton.me,Whiteboard Markers Set,WMS-140,1,12.99,2026-04-09,shipped,529427647510,FedEx,"9287 Lakeview Dr, San Francisco, CA 94101"
#52893,Charles Campbell,charles.campbell95@hotmail.com,LED Desk Lamp,LDL-800,4,139.96,2026-04-23,delivered,37547545019329,OnTrac,"5872 Broadway, Dallas, TX 75201"
#31954,Jennifer Richardson,jennifer.richardson6@icloud.com,Smart Plug,SP-104,4,79.96,2026-04-09,delivered,37456221957098,LaserShip,"1371 Elm St, Arlington, TX 76001"
#36591,Michelle Perez,michelle.perez46@icloud.com,Green Screen,GS-127,1,45.99,2026-01-13,delivered,38738643695067,Amazon Logistics,"8406 Broadway, Miami, FL 33101"
#58573,Steven Perry,steven.perry13@proton.me,Mechanical Numpad,MN-124,2,111.98,2026-03-28,delivered,98967640351174,LaserShip,"9067 Park Ave, Cleveland, OH 44101"
#13724,Elizabeth Young,elizabeth.young52@outlook.com,Smart Bulb Pack,SBP-114,4,159.96,2026-02-08,delivered,56506749671341,Amazon Logistics,"3547 Hillside Rd, Columbus, OH 43085"
#14973,Joshua Butler,joshua.butler93@outlook.com,Cable Management Box,CMB-108,3,74.97,2026-01-10,processing,,,"5570 Broadway, Arlington, TX 76001"
#98586,Sarah Carter,sarah.carter91@hotmail.com,CPU Cooler,CC-133,2,99.98,2026-03-06,pending,,,"2064 Broadway, Philadelphia, PA 19101"
#90980,Jerry Thompson,jerry.thompson93@outlook.com,Smart Bulb Pack,SBP-114,1,39.99,2026-03-23,processing,,,"7700 Highland Ave, Jacksonville, FL 32099"
#21680,Alexander Rodriguez,alexander.rodriguez37@icloud.com,Earbuds Pro,EP-121,3,299.97,2026-01-28,shipped,16970390221401,Amazon Logistics,"4019 Forest Dr, New Orleans, LA 70112"
#96457,Jack Cooper,jack.cooper86@gmail.com,Gaming Headset,GH-123,4,479.96,2026-05-10,processing,,,"2702 Lake Dr, Austin, TX 73301"
#17302,Benjamin Foster,benjamin.foster76@gmail.com,Drawing Tablet,DT-111,2,319.98,2026-05-03,delivered,974421546718,FedEx,"7360 Oak Ave, Seattle, WA 98101"
#88737,Frank Kelly,frank.kelly11@hotmail.com,Surge Protector,SP2-135,1,32.99,2025-12-15,delivered,0112880571,DHL,"1836 Summit Ave, Tampa, FL 33601"
#19831,Carol Robinson,carol.robinson80@proton.me,Cable Organizer Kit,COK-134,2,35.98,2026-02-18,cancelled,,,"9479 Valley Rd, El Paso, TX 79901"
#81040,Margaret Howard,margaret.howard44@icloud.com,Laptop Backpack,LB-117,4,319.96,2026-03-30,delivered,50447669325721,LaserShip,"5838 Sunset Blvd, Philadelphia, PA 19101"
#13406,Kathleen Ortiz,kathleen.ortiz71@icloud.com,Ring Light 10inch,RL-105,4,199.96,2026-04-01,delivered,8877558007,DHL,"2101 Park Ave, Miami, FL 33101"
#93741,John Rodriguez,john.rodriguez7@proton.me,Wireless Charger,WCH-103,2,59.98,2026-01-30,pending,,,"4470 Lake Dr, Tampa, FL 33601"
#93742,Kenneth Allen,kenneth.allen34@hotmail.com,Air Purifier,AP-115,1,129.99,2026-05-13,delivered,87402645654909,LaserShip,"3697 Valley Rd, Bakersfield, CA 93301"
#48919,Laura White,laura.white14@outlook.com,Mechanical Keyboard,MK-200,1,89.99,2026-04-21,delivered,1Z9770443816759190,UPS,"3447 Hillside Rd, Denver, CO 80201"
#60436,Brian Turner,brian.turner51@hotmail.com,Portable SSD 1TB,SSD-102,2,219.98,2026-03-24,returned,26589286285191,OnTrac,"791 Cedar Ln, Springfield, IL 62701"
#66746,Patrick Thompson,patrick.thompson93@icloud.com,Laptop Backpack,LB-117,2,159.98,2025-12-31,shipped,68331655785611,Amazon Logistics,"8082 Washington Blvd, Oklahoma City, OK 73101"
#88639,Donald Campbell,donald.campbell19@outlook.com,Standing Desk Mat,SDM-101,1,55.99,2026-04-08,shipped,1Z1734727504205232,UPS,"9706 Broadway, Minneapolis, MN 55401"
#50488,Gary Davis,gary.davis29@proton.me,NVMe SSD 500GB,NVM-131,1,79.99,2026-04-21,delivered,65708840907738,Amazon Logistics,"4082 Forest Dr, Memphis, TN 38101"
#51923,Helen Myers,helen.myers2@hotmail.com,Capture Card,CC-126,1,89.99,2026-05-21,out_for_delivery,3796683189,DHL,"2450 Maple Dr, Honolulu, HI 96801"
#48436,Kevin Phillips,kevin.phillips76@outlook.com,USB Microphone,UM-110,2,179.98,2025-12-01,shipped,1371567558,DHL,"9169 Cedar Ln, Denver, CO 80201"
#97459,Melissa Scott,melissa.scott75@outlook.com,Smartphone Gimbal,SG-129,1,109.99,2026-05-07,delivered,96742865700864383668,USPS,"8331 Hillside Rd, Indianapolis, IN 46201"
#18763,Emma White,emma.white70@gmail.com,Power Bank 20000mAh,PB-118,2,99.98,2026-01-11,delivered,553743729999,FedEx,"3412 Park Ave, Memphis, TN 38101"
#61865,Jessica Campbell,jessica.campbell57@gmail.com,Surge Protector,SP2-135,1,32.99,2026-02-20,out_for_delivery,80853799029892711033,USPS,"9407 Elm St, Phoenix, AZ 85001"
#44716,Brian Smith,brian.smith56@yahoo.com,Surge Protector,SP2-135,1,32.99,2025-12-11,pending,,,"2462 Elm St, Anaheim, CA 92801"
#35402,Raymond Allen,raymond.allen40@gmail.com,Drawing Tablet,DT-111,3,479.97,2025-12-23,shipped,985220738365,FedEx,"727 Park Ave, New Orleans, LA 70112"
#95458,Nicole Watson,nicole.watson57@proton.me,4K Webcam,4KW-112,3,449.97,2026-02-07,delivered,1Z0305460138620704,UPS,"5363 Oak Ave, Columbus, OH 43085"
#17151,Kathleen Richardson,kathleen.richardson83@icloud.com,Portable Monitor,PM-130,1,249.99,2026-01-08,delivered,31236793937290248800,USPS,"8965 Valley Rd, Philadelphia, PA 19101"
#87176,Cynthia Stewart,cynthia.stewart64@icloud.com,Label Maker,LM-136,4,179.96,2026-02-04,delivered,832344407656,FedEx,"4709 Highland Ave, San Diego, CA 92101"
#22382,Elizabeth Phillips,elizabeth.phillips84@yahoo.com,Noise Cancelling Headphones,NCH-600,1,129.99,2026-01-10,pending,,,"9129 Park Ave, Louisville, KY 40201"
#44101,Gary Morris,gary.morris29@icloud.com,Webcam HD 1080p,WC-500,4,319.96,2026-02-13,processing,,,"8807 Cedar Ln, Baltimore, MD 21201"
#68168,Katherine Ross,katherine.ross46@proton.me,Mini Projector,MP-113,2,399.98,2026-05-12,shipped,23079357798902,LaserShip,"2118 Oak Ave, Jacksonville, FL 32099"
#45724,Jack Jackson,jack.jackson99@outlook.com,Standing Desk Mat,SDM-101,2,111.98,2026-05-15,shipped,07123120588971435747,USPS,"9601 Highland Ave, Jacksonville, FL 32099"
#39950,Jason Martin,jason.martin4@proton.me,Cable Organizer Kit,COK-134,2,35.98,2026-02-09,shipped,845708283088,FedEx,"8727 Sunset Blvd, Salt Lake City, UT 84101"
#77798,Benjamin Powell,benjamin.powell79@yahoo.com,Docking Station,DS-125,2,299.98,2026-01-13,shipped,45099498864737,OnTrac,"2884 Main St, Anaheim, CA 92801"
#21353,Ronald Young,ronald.young42@gmail.com,Fitness Tracker,FT-120,1,89.99,2026-02-18,out_for_delivery,96093918279666928977,USPS,"6585 Willow Way, Louisville, KY 40201"
#99433,Nicholas Collins,nicholas.collins38@icloud.com,NVMe SSD 500GB,NVM-131,3,239.97,2026-03-08,shipped,58085888999853,Amazon Logistics,"4871 Valley Rd, Houston, TX 77001"
#21486,Jennifer Williams,jennifer.williams89@hotmail.com,Stapler Heavy Duty,SHD-139,1,24.99,2026-04-29,out_for_delivery,97941697194593,Amazon Logistics,"3979 Cedar Ln, Phoenix, AZ 85001"
#89949,Emma Diaz,emma.diaz10@icloud.com,LED Desk Lamp,LDL-800,4,139.96,2026-05-03,delivered,5340989686,DHL,"4898 Valley Rd, St. Louis, MO 63101"
#42610,Paul Taylor,paul.taylor24@yahoo.com,Green Screen,GS-127,2,91.98,2026-03-07,pending,,,"2878 Highland Ave, Anaheim, CA 92801"
#31776,Karen Bell,karen.bell61@hotmail.com,Ring Light 10inch,RL-105,2,99.98,2026-04-15,shipped,77906608564336,LaserShip,"1546 Cedar Ln, Nashville, TN 37201"
#11002,Thomas Price,thomas.price56@hotmail.com,Standing Desk Mat,SDM-101,3,167.97,2025-11-23,delivered,20213206179033,OnTrac,"8276 Elm St, Indianapolis, IN 46201"
#17796,Nancy Murphy,nancy.murphy13@yahoo.com,Bluetooth Speaker,BS-106,3,209.97,2026-01-29,delivered,1Z2875517744339237,UPS,"4409 Elm St, Chicago, IL 60601"
#44281,Laura Johnson,laura.johnson33@yahoo.com,LED Desk Lamp,LDL-800,1,34.99,2026-02-27,shipped,55549700094374,Amazon Logistics,"5240 Washington Blvd, Omaha, NE 68101"
#93925,Jeffrey Young,jeffrey.young94@yahoo.com,USB-C Hub,UCH-300,1,39.99,2026-05-04,out_for_delivery,89779894215256,Amazon Logistics,"3379 Lakeview Dr, Albuquerque, NM 87101"
#25216,Timothy Morgan,timothy.morgan16@proton.me,4K Webcam,4KW-112,3,449.97,2026-01-18,delivered,6251587568,DHL,"7284 Cedar Ln, Honolulu, HI 96801"
#80876,Jessica Flores,jessica.flores49@outlook.com,Smartwatch,SW-119,3,599.97,2026-01-17,delivered,069602556594,FedEx,"3283 Main St, Louisville, KY 40201"
#94995,Donna Thomas,donna.thomas15@hotmail.com,Tripod Stand,TS-128,2,79.98,2025-11-29,shipped,52156123178076398389,USPS,"5750 Pine Rd, Nashville, TN 37201"
#74240,Patricia Martin,patricia.martin13@icloud.com,Cable Organizer Kit,COK-134,2,35.98,2026-02-09,out_for_delivery,1Z0057637093725652,UPS,"7263 River Rd, Omaha, NE 68101"
#99808,Helen Scott,helen.scott45@yahoo.com,Whiteboard Markers Set,WMS-140,2,25.98,2026-01-18,shipped,32624288729768,LaserShip,"8714 Pine Rd, Columbus, OH 43085"
#60485,Brenda Wright,brenda.wright82@outlook.com,Fitness Tracker,FT-120,2,179.98,2026-02-11,shipped,23979280579704591024,USPS,"3283 Washington Blvd, San Diego, CA 92101"
#27268,Mark Bennett,mark.bennett71@yahoo.com,Cable Management Box,CMB-108,1,24.99,2026-03-07,delivered,02798180429182,LaserShip,"8641 Park Ave, Pittsburgh, PA 15201"
#61939,Sarah Lewis,sarah.lewis87@proton.me,Cable Organizer Kit,COK-134,3,53.97,2026-04-01,shipped,65740091393525722480,USPS,"2131 Summit Ave, Philadelphia, PA 19101"
#30985,Joseph Roberts,joseph.roberts40@icloud.com,LED Desk Lamp,LDL-800,4,139.96,2026-03-05,cancelled,,,"801 Lakeview Dr, Kansas City, MO 64101"
#23783,Larry Mitchell,larry.mitchell57@outlook.com,CPU Cooler,CC-133,3,149.97,2026-05-10,delivered,66594425081156,LaserShip,"5850 Main St, Richmond, VA 23218"
#73867,Richard Barnes,richard.barnes62@gmail.com,Label Maker,LM-136,1,44.99,2026-02-23,pending,,,"6646 Pine Rd, Las Vegas, NV 89101"
#42800,Elizabeth Barnes,elizabeth.barnes85@yahoo.com,Green Screen,GS-127,1,45.99,2025-12-15,delivered,19875034670408,LaserShip,"6112 Willow Way, Arlington, TX 76001"
#53005,Justin Richardson,justin.richardson24@proton.me,Mini Projector,MP-113,1,199.99,2026-03-18,shipped,12508812106645188982,USPS,"9451 Park Ave, Charlotte, NC 28201"
#25161,Scott Fisher,scott.fisher11@gmail.com,Capture Card,CC-126,3,269.97,2026-05-10,delivered,1Z2358536708442728,UPS,"8256 Oak Ave, Denver, CO 80201"
#37466,Thomas Murphy,thomas.murphy64@hotmail.com,Cable Management Box,CMB-108,2,49.98,2026-05-04,shipped,1Z5598813874794659,UPS,"9939 Lakeview Dr, Louisville, KY 40201"
#50675,Jerry Bailey,jerry.bailey15@icloud.com,LED Desk Lamp,LDL-800,3,104.97,2026-04-15,delivered,79216861112317,Amazon Logistics,"168 Maple Dr, Seattle, WA 98101"
#16415,Timothy Butler,timothy.butler78@icloud.com,Laptop Stand,LS-700,4,183.96,2026-03-04,pending,,,"6712 Meadow Ln, Columbus, OH 43085"
#60963,Debra Hall,debra.hall3@outlook.com,Capture Card,CC-126,4,359.96,2026-04-06,out_for_delivery,73656117233644,LaserShip,"122 Sunset Blvd, Philadelphia, PA 19101"
#41045,James Howard,james.howard53@proton.me,Power Bank 20000mAh,PB-118,3,149.97,2026-03-29,delivered,1Z4062287782754023,UPS,"7354 Willow Way, Austin, TX 73301"
#32457,Donna Ward,donna.ward69@yahoo.com,Power Bank 20000mAh,PB-118,2,99.98,2026-03-19,processing,,,"4207 Lake Dr, Raleigh, NC 27601"
#51425,Joshua Nguyen,joshua.nguyen23@outlook.com,LED Desk Lamp,LDL-800,2,69.98,2026-01-07,shipped,79555550603456,LaserShip,"2604 Meadow Ln, El Paso, TX 79901"
#99146,Justin Cox,justin.cox24@hotmail.com,NVMe SSD 500GB,NVM-131,2,159.98,2026-01-18,delivered,5397585863,DHL,"4616 Meadow Ln, Baltimore, MD 21201"
#64878,Carol Mitchell,carol.mitchell29@gmail.com,Mechanical Keyboard,MK-200,2,179.98,2026-04-28,processing,,,"7270 Oak Ave, Salt Lake City, UT 84101"
#83498,Samuel Davis,samuel.davis93@proton.me,Cable Management Box,CMB-108,2,49.98,2026-05-19,delivered,95305632379087060716,USPS,"8951 Highland Ave, Omaha, NE 68101"
#49292,Carol Brooks,carol.brooks1@outlook.com,LED Desk Lamp,LDL-800,2,69.98,2026-04-09,out_for_delivery,1Z8430098658341672,UPS,"1358 Pine Rd, Los Angeles, CA 90001"
#74749,Steven Phillips,steven.phillips34@icloud.com,Shredder,SH-137,4,359.96,2025-12-18,delivered,16265654932632104981,USPS,"8937 Hillside Rd, Denver, CO 80201"
